"Teve algo que não correspondeu às suas expectativas?
";"Deixe aqui seus comentários, sugestões e/ou elogios:
";"Como você avalia o atendimento e suporte da equipe Educasafras durante o curso?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o local, infraestrutura e ambiente do curso?
(1 = Muito ruim | 5 = Excelente) ";"Como você avalia os materiais disponibilizados (apostila, recursos de apoio)?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia a alimentação oferecida durante o curso (coffee break, almoço)?
(1 = Muito ruim | 5 = Excelente)  ";"De modo geral, como você avalia a sua experiência no curso?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o conteúdo da Aula Inaugural?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia a clareza e a didática do professor Sandro Elias?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o conteúdo da Aula Holding Rural?
(1 = Muito ruim | 5 = Excelente)";"Como você avalia a clareza e a didática da professora Alessandra Braga?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o conteúdo da Aula Contábil e de Reforma Tributária?
(1 = Muito ruim | 5 = Excelente) ";"Como você avalia a clareza e a didática do professor Daniel Chiechelski?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o conteúdo da Aula Gestão e Governança?
(1 = Muito ruim | 5 = Excelente) ";"Como você avalia a clareza e a didática da professora Vanessa Alam?
(1 = Muito ruim | 5 = Excelente)  ";"Como você avalia o conteúdo da Aula de Gestão Financeira Estratégica?
(1 = Muito ruim | 5 = Excelente) ";"Como você avalia a clareza e a didática do professor Vinícius Kaefer?
(1 = Muito ruim | 5 = Excelente)  ";Você recomendaria o curso Sucessores do Agro para outras pessoas?;Sobre qual assunto do agro você gostaria de se aprofundar em um curso futuro?;Você tem preferência por realizar cursos:;Qual formato de curso você prefere?
Como temos muitas anotações pra fazer, seria bom ter uma mesa e tomadas para usar PC;Adorei, dos cursos que já participei, o primeiro que entendi a linguagem, fácil compreensão!;Media: 4,86;Media: 4,70;Media: 4,73;Media: 4,59;Media: 4,77;Media: 4,89;Media: 4,91;Media: 4,84;Media: 4,89;Media: 4,73;Media: 4,66;Media: 4,91;Media: 4,86;Media: 4,91;Media: 4,84;Todos alunos recomendam o curso, com 100% de satisfação.;Gestão no agro – administração estratégica da propriedade, finanças, processos e governança: 18 respostas (42,9%);Presencial: 28 respostas (65,1%);Imersão – 2 a 3 dias: 35 respostas (83,3%)
Gostaria que o auditório fosse com mesas e cadeiras, nos dá mais flexibilidade para anotações ;Foi muito bom!;Nota 5 (Excelente): 38 respostas (86,4%);Nota 5 (Excelente): 32 respostas (72,7%);Nota 5 (Excelente): 32 respostas (72,7%);Nota 5 (Excelente): 30 respostas (68,2%);Nota 5 (Excelente): 34 respostas (77,3%);Nota 5 (Excelente): 39 respostas (88,6%);Nota 5 (Excelente): 40 respostas (90,9%);Nota 5 (Excelente): 37 respostas (84,1%);Nota 5 (Excelente): 39 respostas (88,6%);Nota 5 (Excelente): 34 respostas (77,3%);Nota 5 (Excelente): 33 respostas (75,0%);Nota 5 (Excelente): 40 respostas (90,9%);Nota 5 (Excelente): 38 respostas (86,4%);Nota 5 (Excelente): 40 respostas (90,9%);Nota 5 (Excelente): 37 respostas (84,1%);;Liderança – desenvolvimento de habilidades para gerir negócios e equipes: 8 respostas (19,0%);Ambos (presencial + online): 14 respostas (32,6%);Rápido – horas: 4 respostas (9,5%)
Nada , se possível compartilhar os slides ;Excelente Curso. Ambiente agradável. Acolhimento nota10!;Nota 4 (Boa): 6 respostas (13,6%);Nota 4 (Boa): 11 respostas (25,0%);Nota 4 (Boa): 12 respostas (27,3%);Nota 4 (Boa): 10 respostas (22,7%);Nota 4 (Boa): 10 respostas (22,7%);Nota 4 (Boa): 5 respostas (11,4%);Nota 4 (Boa): 4 respostas (9,1%);Nota 4 (Boa): 7 respostas (15,9%);Nota 4 (Boa): 5 respostas (11,4%);Nota 4 (Boa): 8 respostas (18,2%);Nota 4 (Boa): 7 respostas (15,9%);Nota 4 (Boa): 4 respostas (9,1%);Nota 4 (Boa): 6 respostas (13,6%);Nota 4 (Boa): 4 respostas (9,1%);Nota 4 (Boa): 7 respostas (15,9%);;Tecnologia e inovação – tendências, IA e ferramentas digitais aplicadas à gestão do campo: 6 respostas (14,3%);Online: 1 resposta (2,3%);Médio – 3 a 6 semanas: 2 respostas (4,8%)
Tudo top;Curso muito legal, valeu muito a pena o deslocamento. Obrigado a todos. ;Nenhuma nota abaixo de 4.;Nota 3 (Regular): 1 resposta (2,3%);Não houve notas abaixo de 4.;Nota 3 (Regular): 4 respostas (9,1%);Não houve notas abaixo de 4.;Não houve notas abaixo de 4.;Nenhuma nota abaixo de 4.;Nenhuma nota abaixo de 4.;Nenhuma nota abaixo de 4.;Nota 3 (Regular): 2 respostas (4,5%);Nota 3 (Regular): 4 respostas (9,1%);Nenhuma nota abaixo de 4.;Nenhuma nota abaixo de 4.;Nenhuma nota abaixo de 4.;Nenhuma nota abaixo de 4.;;Gestão estratégica de pessoas – engajamento, retenção e desenvolvimento de equipes: 5 respostas (11,9%);;Longo – meses (MBA | Pós-graduação): 1 resposta (2,4%)
Sim, a visão que eu não tinha do negócio parte tributária e financeira ;Botar mais um ar na sala kkkkk;;Não houve notas 2 ou 1.;;Não houve notas 1 ou 2.;;;;;;Nenhuma nota abaixo de 3.;Não houve notas abaixo de 3.;;;;;;Mediação – resolução de conflitos familiares no agro: 3 respostas (7,1%);;
Tudo muito legal e proveitoso. ;Elogio todos os professores e funcionários da equipe por seu amplo conhecimento tecnico e didático. Mas principalmente o professor Daniel pois seu conteúdo denso e novo para mim foi passado com clareza e leveza.;;;;;;;;;;;;;;;;;Questões fundiárias – regularidade e segurança jurídica: 1 resposta (2,4%);;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
